city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	description 2	Audio Evidence	Image/Video/Visual Evidence	Haunted Places Date	Haunted Places Witness Count	Time of Day	Apparition Type I	Apparition Type II	Apparition Type III	Event Type	Alcohol Abuse Rate	Amount of daylight	Sunrise Time	Sunset Time	Max Temperature	Min Temperature	Precipitation	comment count	EHP rating	image	urban_or_near	color	element	Dimensions
Charlevoix	United States	This spot is said to be haunted by a ghost believed to be in his late teens to early 20's who died in the grinder of the old mill that used to stand on the site.	Weathervane Restaurant	Michigan	MI	-85.25928429999999	45.3192451	-85.2584004	45.3180632	 45.319265°, -85.259266°  106 Pine River Lane, Charlevoix, Michigan Stafford's Weathervane Restaurant in Charlevoix, Michigan was originally constructed during the 1800's as a grist mill. It was remodeled for use as a restaurant during the mid-1950's and is believed to be haunted by the spirit of a former mill worker who was killed in an accident. Patrons at Stafford's Weathervane Restaurant often report witnessing a man's apparition, as well as objects that appear to be moved or rearranged by an unseen entity. Employees also report experiencing sudden cold spots and temperature shifts, and hearing the sounds of disembodied voices and footsteps when working alone at night. 	True	True	1950-03-07	1	Morning	Ghost	Single Ghost	Male Ghost	Supernatural Phenomenon	19.8	11:26	7:09	6:35	7.2	-5.0	0.0	Unknown	Unknown	Unknown	True	RGB(110, 137, 159)	person	474x266
Charlotte	United States	when you are in the bottom of the theatre you will feel a coldness breeze and people say that is Rick Eaton the theatre was named after him. he died in 1923 and the theatre was built in 1902. Rick was a nice guy and his poor wife killed herself on the bottom below the upstairs and she shot herself and the bottom was where Rick died. he was up on the little balcony in the bottom and he was painting and he fell off.	Eaton Theatre	Michigan	MI	-84.8354913	42.56126099999999	-84.83582109999999	42.5636478	   Apparitions are seen, disembodied sounds and voices are heard, and objects mysteriously go missing. The theater, which was built in 1916, is also said to be haunted by the spirit of it's original owner. Additional r esearch for this allegedly haunted location is currently in progress. 	True	True	1923-03-07	1	Unknown	Ghost	Single Ghost	Unknown	Murder, Supernatural	19.8	11:29	7:06	6:35	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(37, 30, 24)	car	474x357
Charlotte	United States	people say that in the Charlotte Jr. High the old ISS room use to be a freezer room. They say back in the 60's a older man that was a teacher threw a kid in the freezer room. He got frostbitten and dies! Now the kids there say when they get in trouble and go in the ISS room the little boy haunts them.	Old Charlotte Jr. High	Michigan	MI	-84.85648599999999	42.5556987	-84.83582109999999	42.5636478		True	True	2024-04-29	1	Unknown	Ghost	Single Ghost	Male Ghost, Child Ghost	Death, Supernatural	19.8	14:01	6:36	8:37	21.9	16.3	10.3	Unknown	Unknown	Unknown	True	RGB(81, 72, 53)	stop sign, car	474x316
Cheboygan	United States	An old farmer went insane and killed his family and then himself. If you go out to the site at night you feel overwhelmed by fright. And never take a stone from the tomb you will be dealt with in a not so nice matter. 2 people drove over the tomb on purpose and there truck just died for no reason. There friends in a car behind them had the steering wheel jerked and they crashed into a tree.	Hikyes Tomb	Michigan	MI			-84.4744795	45.64695630000001		True	True	2025-01-01	1	Evening	Ghost	Several Ghosts	Unknown	Murder, Death	19.8	08:46	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(146, 133, 125)	Unknown	474x314
Cheboygan	United States	January 2007 has been removed	Pellston	Michigan	MI	-84.7839364	45.552789	-84.4744795	45.64695630000001		False	False	2007-01-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	19.8	08:53	8:18	5:12	5.4	-0.1	0.0	Unknown	Unknown	Unknown	False	RGB(30, 32, 34)	person, person	474x266
Cheboygan	United States	"Years ago there was a terrible train accident and when the train tipped over there was a man who was badly hurt and the wreck jogged his mind so much that he started to beat his skull against the stump of an old tree. In the process of doing so, he asked himself ""why am I hear""?. Well, he beat himself to death until his skull cracked wide open. At 1:00am in the morning you can still hear the ghost of the man saying why am I here as he beats his head on the stump."	Where the old Train Station used to be	Michigan	MI			-84.4744795	45.64695630000001		True	True	2013-03-07	0	Evening	Ghost	Single Ghost	Male Ghost	Death, Supernatural	19.8	11:28	7:04	6:33	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(123, 117, 97)	Unknown	474x355
Chelsea	United States	Reports that lockers slam when no ones there and in the girls bathroom you here the toilets flush and whispers heard and behind the stage you can feel an odd presents in there when your alone.	Beach Middle School	Michigan	MI	-84.0096366	42.3182386	-84.0205029	42.3180919	 42.318239°, -84.009637°  445 Mayer Drive, Chelsea, Michigan Students and faculty members at Beach Middle School in Chelsea, Michigan often report experiencing unexplained paranormal phenomena, such as hearing the sounds of disembodied voices and whispers, witnessing doors and lockers slamming shut by themselves, and bathroom faucets that appear to be turned on and off by an unseen entity. Despite these claims, very little additional information is available regarding this allegedly haunted location, leading some to believe these stories were merely fabricated to frighten students.	True	True	1909-03-07	1	Unknown	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	19.8	11:30	6:02	5:32	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(174, 204, 209)	Unknown	474x316
Chelsea	United States	in the dark, you can feel an odd presence of someone else there with you. There have been reports of ghost sitings near the operation rooms.	Chelsea hospital	Michigan	MI	-84.0165056	42.3104227	-84.0205029	42.3180919		False	True	2025-01-01	0	Unknown	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	19.8	09:09	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(85, 146, 225)	clock, person, person, person, person, person, person, person, person, person, person, person, person	474x355
Chelsea	United States	The foundation of the house is still there. They say at night the house reappears. Also at the back of the house, there are slave house's and old barn which are said to be haunted.	Pink Palace	Michigan	MI			-84.0205029	42.3180919		True	True	1957-03-07	0	Evening	Unknown	Unknown	Unknown	Unknown	19.8	11:31	7:01	6:33	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(44, 35, 43)	umbrella, potted plant	474x298
Chesaning	United States	Store merchandise has been found moved when stores are opened in the morning. Employees hair pulled, employee shoved, voices can be heard at night. A Santa decoration was seen by 3 eye witnesses as it lifted from a table and was sat down on the floor outside a store. Transparent images of a woman and man seen separately over periods of time. Numerous unexplainable events occurring since mall opened in 1985. Unknown before this date. A smallpox outbreak in 1837 devastated some of the last remaining Indians in this area before the village of Chesaning was started.	Chesaning Market Street Square (a mini mall with indoor shops)	Michigan	MI			-84.11497469999999	43.1847483		True	True	1985-03-07	1	Morning	Ghost	Single Ghost	Female Ghost	Murder, Death	19.8	11:31	7:02	6:33	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(147, 126, 108)	bench, person, dining table	474x248
Clarksdale	United States	It is said that late at night if you go over the Sunflower Bridge...turn off your car and roll down your windows that the cries of help and people yelling could be heard.	Sunflower Bridge	Michigan	MI	-83.3426114	42.7150605	-83.4192941	42.7351196		True	True	2025-01-01	1	Evening	Unknown	Unknown	Unknown	Murder, Death	19.8	09:07	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(238, 212, 180)	Unknown	474x335
Clarkston	United States	Closed Down- Sightings of people around the cinema. scratching and bumping noises heard every night. Shadows of people running on the screen. Little girl sits on the stage.	Clarkston Cinema	Michigan	MI	-83.43415	42.660509	-83.4192941	42.7351196		True	True	1933-03-07	1	Evening	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	19.8	11:30	7:00	6:30	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(51, 47, 35)	Unknown	474x355
Clarkston	United States	In the late 1800 a man was slaughtered off of what is now dixie and white lake road. Reports from employee's say that the man comes out at night and walks towards deer lake raquet club and back to cvs.	CVS off dixie us 20	Michigan	MI	-83.426161	42.7229641	-83.4192941	42.7351196		True	False	1800-03-07	0	Evening	Unknown	Unknown	Unknown	Murder	19.8	11:31	6:27	5:58	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(245, 245, 244)	stop sign, bottle, bowl	474x522
Clinton Township	United States	In the woods right off Hayes and 18 there is a small cemetery that has about 30 stones, most of them dating back to the 1800's and its said that if you come alone to the cemetery at 12:00 at night on a Friday you will very loud whispers in the woods that corner the whole cemetery and if you brave enough to stay longer the whispers come closer until there right in front of your face	18 mile road and Hayes	Michigan	MI	-82.97202519999999	42.5975415	-82.9195514	42.5868882	In September of 1989, 21 junior and senior high school students in Alton, Texas were killed when the bus they were riding in was struck by an oncoming Dr. Pepper delivery truck. Ever since, motorists have reported witnessing apparitions and shadowy figures on 5 Mile Road where the accident occurred, and hearing the sounds of disembodied screams. Additional r esearch for this allegedly haunted location is currently in progress.	True	True	1800-03-07	1	Evening	Ghost	Single Ghost	Unknown	Murder	19.8	11:31	6:25	5:56	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(167, 163, 158)	Unknown	474x316
Clinton Township	United States	There have been several acts of violence here. About 20 years ago a man escaped from a mental home and broke into the front office. In the process he broke several windows, trashed the place, slit his wrists and neck, and was found by the sales staff in the morning wrapped in a blanket talking to himself. He did not die but it was a very violent experience. 10 or so years ago a man was distressed over losing his parents and shot himself in the head overnight on top of his parent s grave. Several of the grounds crew have seen a man dematerialize in the same area a few times. This was in the summit hill garden which is the oldest garden in the cemetery. In the day or night there can be an overwhelming feeling of being watched. About 6 or 7 years ago there was a sales manager who quit after seeing an Indian in the sales office walk thru a wall. There is also a story not verified that a police officer shot a teenager on the grounds and the boy died and was buried there. In the months following the cop went mad and one night was caught wearing camouflage and face paint digging up the boy that he killed. There have also been a few graves that people have tried to dig up but have failed since the vault lids are VERY heavy. Whispers and screams have been heard.	Cadillac Memorial Gardens East	Michigan	MI	-82.9564118	42.5811627	-82.9195514	42.5868882	 42.581163°, -82.956412°  38425 Garfield Road, Clinton Township, Michigan Founded in 1929, the Cadillac Memorial Gardens East is a cemetery located in Clinton Township, Michigan. Visitors at the 114-acre cemetery report seeing apparitions, in addition to feeling a strange presence, or experiencing feelings of being watched by an unseen entity. Those brave enough to venture into the old burial ground at night also claim to hear the sounds of disembodied voices, whispers, and screams. One employee working at the Cadillac Memorial Gardens in the early 2000's allegedly quit after witnessing the spirit of a Native American tribesman walk through the wall of his office. 	True	True	2000-03-07	1	Morning	Ghost	Several Ghosts	Unknown	Murder, Death	19.8	11:32	6:56	6:29	20.9	0.9	0.0	Unknown	Unknown	Unknown	True	RGB(96, 166, 241)	Unknown	474x368
Clinton Township	United States	In the Spring, Summer, and sometimes early Fall, some of the streets will have fog only at the end of them, and there will be Shadows of teenager looking people walking down the middle of the street. Also, sometimes if you cross the middle of the streets you feel a temperature drop repeatedly.	Chateau Clinton Trailer Park	Michigan	MI	-82.9707913	42.5764741	-82.9195514	42.5868882		True	True	1938-10-22	1	Morning	Ghost	Single Ghost	Unknown	Murder, Death	19.8	10:47	6:52	5:39	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(198, 180, 165)	person, person, person, person, umbrella, truck, person, kite, kite, umbrella	474x760
Clinton County	United States	R.B.W. (Rodney B. Wilson) - People have said to hear a noise from the hall ways like a drum beating after closing hours when only the janitors are there.	St. Johns	Michigan	MI	-84.55915209999999	43.001143	-84.5222189	42.9663458		True	True	1998-03-07	1	Unknown	Unknown	Unknown	Unknown	Unknown	19.8	11:31	7:04	6:34	5.3	-2.7	0.0	Unknown	Unknown	Unknown	True	Unknown	Unknown	Unknown
Clinton County	United States	Cemetery on Forest Hill Road - Witnesses claim to have taken tons of pictures of orbs here.	St. Johns/Clinton County	Michigan	MI	-84.55915209999999	43.001143	-84.5222189	42.9663458		False	True	2020-03-07	1	Unknown	Orb, Ghost	Single Ghost	Unknown	Unknown	19.8	11:32	7:03	6:35	7.6	-7.4	0.0	Unknown	Unknown	Unknown	True	Unknown	Unknown	Unknown
